date,temp_max_c,temp_min_c,rainfall_mm,humidity_pct,solar_rad,year,month,month_name,week,day_of_week,is_rainy_day
2022-08-22,26.75,22.55,3.56,91.48,3.8434,2022,8,August,34,Monday,1
2022-08-23,28.23,21.95,2.63,89.16,3.7272,2022,8,August,34,Tuesday,1
2022-08-24,27.22,21.49,0.34,87.42,4.909,2022,8,August,34,Wednesday,0
2022-08-25,28.28,21.76,4.74,88.72,4.183,2022,8,August,34,Thursday,1
2022-08-26,28.79,22.36,43.81,89.6,3.0211,2022,8,August,34,Friday,1
2022-08-27,28.38,22.53,21.8,89.79,4.1273,2022,8,August,34,Saturday,1
2022-08-28,27.79,21.78,2.76,88.43,4.1755,2022,8,August,34,Sunday,1
2022-08-29,29.33,22.25,2.05,86.22,4.2818,2022,8,August,35,Monday,1
2022-08-30,29.61,22.78,6.01,88.79,4.1786,2022,8,August,35,Tuesday,1
2022-08-31,29.19,22.55,11.8,89.09,2.9671,2022,8,August,35,Wednesday,1
2023-06-01,28.65,24.28,4.34,91.86,5.4312,2023,6,June,22,Thursday,1
2023-06-02,28.79,24.21,7.94,90.42,5.0554,2023,6,June,22,Friday,1
2023-06-03,30.19,24.03,3.85,86.88,3.7601,2023,6,June,22,Saturday,1
2023-06-04,28.65,23.62,3.34,91.0,5.4758,2023,6,June,22,Sunday,1
2023-06-05,29.7,23.59,6.08,89.96,4.8749,2023,6,June,23,Monday,1
2023-06-06,27.5,24.24,37.59,93.51,3.6674,2023,6,June,23,Tuesday,1
2023-06-07,27.65,23.62,41.58,91.97,3.9528,2023,6,June,23,Wednesday,1
2023-06-08,28.23,23.16,6.72,90.48,2.6102,2023,6,June,23,Thursday,1
2023-06-09,29.52,22.98,1.98,88.08,4.4914,2023,6,June,23,Friday,1
2023-06-10,28.23,23.59,17.37,91.8,4.2281,2023,6,June,23,Saturday,1
2023-06-11,28.09,23.37,38.61,91.9,4.4004,2023,6,June,23,Sunday,1
2023-06-12,30.33,22.42,0.87,84.55,4.5766,2023,6,June,24,Monday,0
2023-06-13,27.91,23.45,4.59,91.11,4.6697,2023,6,June,24,Tuesday,1
2023-06-14,28.02,22.86,10.68,91.41,3.839,2023,6,June,24,Wednesday,1
2023-06-15,30.07,22.52,4.25,87.77,3.9583,2023,6,June,24,Thursday,1
2023-06-16,29.82,23.54,3.7,86.5,5.0352,2023,6,June,24,Friday,1
2023-06-17,30.35,23.55,5.08,87.59,3.5582,2023,6,June,24,Saturday,1
2023-06-18,28.39,24.26,6.6,91.62,4.0217,2023,6,June,24,Sunday,1
2023-06-19,28.93,24.09,69.28,91.79,4.465,2023,6,June,25,Monday,1
2023-06-20,27.67,23.89,10.96,93.53,3.949,2023,6,June,25,Tuesday,1
2023-06-21,27.54,23.45,4.22,92.54,4.669,2023,6,June,25,Wednesday,1
2023-06-22,27.76,23.1,4.33,90.83,4.3313,2023,6,June,25,Thursday,1
2023-06-23,28.05,22.48,2.64,89.14,3.3761,2023,6,June,25,Friday,1
2023-06-24,28.14,22.46,1.1,88.92,3.492,2023,6,June,25,Saturday,1
2023-06-25,29.7,21.82,0.97,86.17,3.7183,2023,6,June,25,Sunday,0
2023-06-26,26.61,23.15,2.1,92.04,4.1995,2023,6,June,26,Monday,1
2023-06-27,26.91,22.76,15.68,92.43,3.1774,2023,6,June,26,Tuesday,1
2023-06-28,26.96,23.19,15.97,94.13,3.1258,2023,6,June,26,Wednesday,1
2023-06-29,28.84,23.0,3.71,89.91,4.3632,2023,6,June,26,Thursday,1
2023-06-30,28.0,23.31,3.34,91.23,4.2994,2023,6,June,26,Friday,1
2023-07-01,28.78,23.28,9.05,90.75,4.5521,2023,7,July,26,Saturday,1
2023-07-02,27.74,23.19,20.09,90.59,3.9511,2023,7,July,26,Sunday,1
2023-07-03,30.88,23.39,21.39,87.99,4.5643,2023,7,July,27,Monday,1
2023-07-04,27.1,23.96,8.88,93.85,4.0906,2023,7,July,27,Tuesday,1
